outlet,count,total_count
"KXNT-AM (Las Vegas, NV)",2,2
El Defensor Chieftain,2,2
"WXXA-TV (Albany, NY)",2,2
Fort Bend Sun,2,2
Salina Journal,2,2
San Juan Record,2,2
"KXTE-FM (Las Vegas, NV)",2,2
"WRFL-FM (Lexington, KY)",2,2
Droid Life,2,2
Sandy Post,2,2
Douglas Budget,2,2
WXBK-FM (94.7 The Block ),2,2
"WXYT-AM (Southfield, MI)",2,2
Wilkes Journal-Patriot,2,2
Saugus Advertiser,2,2
"WWXM-FM (Myrtle Beach, SC)",2,2
Dillon Tribune,2,2
"WFPA-TV (Philadelphia, PA)",2,2
KXCI 91.3,2,2
"WXSS-FM (Hales Corners, WI)",2,2
Fairfield Sun Times,2,2
The Beacon Newspapers,2,2
The Bitterroot Star,2,2
Fish Alaska Magazine,2,2
Fiddlehead Focus,2,2
"WGNB-FM (Zeeland, MI)",2,2
The Batesville Daily Guard,2,2
Friendswood Journal,2,2
"KYBA-FM (Rochester, MN)",2,2
"KWNR-FM (Las Vegas, NV)",2,2
Farmington Daily Times,2,2
"KWWK-FM (Rochester, MN)",2,2
"WGZB-FM (Louisville, KY)",2,2
Memorial Examiner,2,2
Gallup Independent,2,2
Rooster Teeth,2,2
The Badger Herald,2,2
"WPSG-TV (Philadelphia, PA)",2,2
"WHBL-AM (Sheboygan , WI)",2,2
WRHI Radio,2,2
Estacada News,2,2
Fox Sports Florida,2,2
"KXEW-AM (Tucson, AZ)",2,2
Religion Dispatches,2,2
"KXGN-TV (Glendive, MT)",2,2
Savage Pacer,2,2
Update New Jersey,2,2
Delta Democrat Times,2,2
Scottsdale Independent,2,2
Madison County Journal,2,2
"WMSC-FM (Upper Montclair, NJ)",2,2
The Money Pit,2,2
"WPGG-AM (Northfield, NJ)",2,2
Lehi Free Press,2,2
Bettendorf News,2,2
Bingham News Chronicle,2,2
Black Information Network,2,2
Marblehead Reporter,2,2
South Philly Review,2,2
"WKSJ-FM (Mobile, AL)",2,2
"WKRZ-FM (Pittston, PA)",2,2
Box Elder News Journal,2,2
Branson Tri-Lakes News,2,2
"WKRD-AM (Louisville, KY)",2,2
Maui News,2,2
Las Vegas Optic,2,2
WMRA Public Radio,2,2
"WLIF-FM (Baltimore, MD)",2,2
Belgrade News,2,2
The Manchester Times,2,2
The Madras Pioneer,2,2
"WMGS-FM (Wilkes Barre, PA)",2,2
"Star News (McCall, ID)",2,2
St. Peter Herald,2,2
"WMEQ-AM (Eau Claire, WI)",2,2
"WQHQ-FM (Salisbury, MD)",2,2
The Maine Edge,2,2
Student Life,2,2
The Lake Houston Observer,2,2
Anchorage Press,2,2
Linder Farm Network,2,2
Atascocita Observer,2,2
Lexington County Chronicle & The Dispatch News,2,2
Sparks Tribune,2,2
York County Coast Star,2,2
"WLRH-FM (Huntsville, AL)",2,2
"WKQI-FM (Detroit, MI)",2,2
SmithVille Times,2,2
"WKOK-AM (Sunbury, PA)",2,2
"KZCE-FM (Cordes Lakes, AZ)",2,2
The Inter-Mountain,2,2
The News Virginian,2,2
Shelby Star,2,2
"KZMU-FM (Moab, UT)",2,2
"KZJK-FM (Minneapolis, MN)",2,2
"KZIO-FM (Duluth, MN)",2,2
The Northside Sun,2,2
Cruise Radio,2,2
Shooting Times,2,2
Cruise Trade News,2,2
The Oklahoma Eagle,2,2
Daily Athenaeum,2,2
"WMXJ-FM (Miami, FL)",2,2
"WYFT-FM (Luray, VA)",2,2
"KYUR-TV (Anchorage, AK)",2,2
"Daily Journal (Seneca, South Carolina)",2,2
"WRAT-FM (Belmar, NJ)",2,2
"WJCT-FM (Jacksonville, FL)",2,2
"WSKQ-FM (New York, NY)",2,2
Chronicle - Independent,2,2
The Jonesboro Sun,2,2
Brunswick Sun Times,2,2
Lahaina News,2,2
Canon City Daily Record,2,2
Sioux Center News,2,2
Charlevoix Courier,2,2
Chestnut Hill Local,2,2
Church Point News,2,2
Shoshone News Press,2,2
Clackamas Review,2,2
The Jackson Sun,2,2
"WJMZ-FM (Greenville, SC)",2,2
"WMWV-FM (Conway, NH)",2,2
La Prensa Latina,2,2
Sikeston Standard Democrat,2,2
KZND-FM,2,2
Sherwood Gazette,2,2
"WSBE-TV (Providence, RI)",2,2
Louisiana Sportsman,2,2
"KENI-AM (Anchorage, AK)",2,2
KDHL AM 920,2,2
"KRQQ-FM (Tucson, AZ)",2,2
The Greenwood Commonwealth,2,2
"KDSM-TV (Des Moines, IA)",2,2
"KRFX-FM (Denver, CO)",2,2
"WBMX-FM (Chicago, IL)",2,2
"KEGA-FM (Salt Lake City, UT)",2,2
"KQCA-TV (Sacramento, CA)",2,2
The Gaffney Ledger,2,2
"KQAC-FM (Portland, OR )",2,2
The Green River Star,2,2
NaturallyCurly,2,2
"KFTZ-FM (Idaho Falls, ID)",2,2
"KFXA-TV (Cedar Rapids, IA)",2,2
"WBBZ-TV (Williamsville, NY)",2,2
"Northside Neighbor (Sandy Springs, Roswell, GA)",2,2
"WBTJ-FM (Henrico, VA)",2,2
"KCYE-FM (Las Vegas, NV)",2,2
Orange County Review,2,2
"WBUL-FM (Lexington, KY)",2,2
"KBCO-FM (Denver, CO)",2,2
Mountain Weekly News,2,2
"WCCP-FM (Clemson, SC)",2,2
"KBCW-TV (San Francisco, CA)",2,2
"KBFM-FM (Edinburg, TX)",2,2
Owensboro Radio,2,2
"KBXX-FM (Houston, TX)",2,2
"WCBC-AM (Cumberland, MD)",2,2
WVLC-99.9 FM,2,2
"KBYU-FM (Salt Lake City, UT)",2,2
"WCAI-FM (Woods Hole, MA)",2,2
"WVKS-FM (Toledo, OH)",2,2
"KCFW-TV (Kalispell, MT)",2,2
MSU Reflector,2,2
The Virginia Gazette,2,2
"WTVB-AM (Coldwater, MI)",2,2
TNT,2,2
"WCKQ-FM (Campbellsville, KY)",2,2
"KKHH-FM (Houston, TX)",2,2
"KJCE-AM (Austin, TX)",2,2
"WAFJ-FM (Belvedere, SC)",2,2
"KJKK-FM (Dallas, TX)",2,2
"KJYO-FM (Oklahoma City, OK)",2,2
"KKCB-FM (Duluth, MN)",2,2
"KKCW-FM  (Portland, OR)",2,2
"KKDM-FM (Des Moines, IA)",2,2
Uinta County Herald,2,2
"WAXX-FM (Altoona, WI)",2,2
"KLEW-TV (Lewiston, ID)",2,2
"KLIX-AM (Twin Falls, Idaho)",2,2
News Journal,2,2
"KMTI-AM (Manti, UT)",2,2
The Eastern New Mexico,2,2
University of Washington Daily,2,2
"KMSB-TV (Tucson, AZ)",2,2
"KNIN-TV (Nampa, ID)",2,2
"WAIO-FM (Honeoye Falls, NY)",2,2
KiX 96 FM,2,2
Kingman Daily Miner,2,2
The Daily Utah Chronicle,2,2
"KHET-TV (Honolulu, HI)",2,2
"KHKA-AM (Honolulu, HI)",2,2
"WUSL-FM (Philadelphia, PA)",2,2
"WRVQ-FM (Richmond, VA)",2,2
"KHMT-TV (Billings, MT)",2,2
Northern Nevada Business Weekly,2,2
Northern Kentucky Tribune,2,2
Washington Hispanic,2,2
"KIEM-TV (Eureka, CA)",2,2
The Deming Headlight,2,2
Kodiak Daily Mirror,2,2
"KNVN-TV (Chico, CA)",2,2
"WAPL-FM (Appleton, WI)",2,2
"KNRS-FM (Salt Lake City, UT)",2,2
The Utah Statesman,2,2
"KBUL-AM (Billings, MT)",2,2
Woodburn Independent,2,2
"KALC-FM (Denver, CO)",2,2
Hawaii Army Weekly,2,2
"WDCA-TV (Washington, DC)",2,2
"KAEF-TV (Arcata, CA)",2,2
Western Ag Reporter,2,2
The Cordova Times,2,2
Jackson Hole Daily,2,2
"KSOP-FM (Salt Lake City, UT)",2,2
Poynette Press,2,2
Homer News,2,2
"KSRV-FM (Nampa, ID)",2,2
"WESC-FM (Greenville, SC)",2,2
"WERQ-FM (Baltimore, MD)",2,2
The Temple News,2,2
"KTEX-FM (Mercedes, TX)",2,2
"WCLU-AM (Glasgow, KY)",2,2
"KTGV-FM (Tucson, AZ)",2,2
Pinedale Roundup,2,2
"WERC-FM (Hoover, AL)",2,2
Into the Gloss,2,2
"WEPN-AM (New York, NY)",2,2
"WTKU-FM (Linwood, NJ)",2,2
"WNJB-TV (Trenton, NJ)",2,2
"WEBN-FM (Cincinnati, OH)",2,2
Humble Observer,2,2
The Clanton Advertiser,2,2
Weirton Daily Times,2,2
"KTMG-FM (Prescott, AZ)",2,2
The House FM,2,2
Prior Lake American,2,2
"WCRB-FM (Lowell, MA)",2,2
Hattiesburg American,2,2
The Saratoga Sun,2,2
Peninsula Clarion,2,2
The Sea Coast Echo,2,2
Millard County Chronicle Progress,2,2
"KRXI-TV (Reno, NV)",2,2
"WCNY-TV (Syracuse, NY)",2,2
"WCOS-FM (Columbia, SC)",2,2
The Catholic Transcript,2,2
New Canaan Advertiser,2,2
The Sheboygan Press,2,2
Hamodia,2,2
WNRN,2,2
"KUEN-TV (Salt Lake City, UT)",2,2
Petersen's Bowhunting,2,2
Idaho County Free Press,2,2
The Toms River Times,2,2
"WCZT-FM (Villas, NJ)",2,2
KARP-FM,2,2
"WNOR-FM (Chesapeake, VA)",2,2
"WEZL-FM (Charleston, SC)",2,2
The Courier-Gazette,2,2
"WEZB-FM (New Orleans, LA)",2,2
1280thezone.com,1,1
"WMLL-FM (Manchester, NH)",1,1
"WSYT-TV (Syracuse, NY)",1,1
WWPW-FM (Atlanta GA),1,1
"WODE-FM (West Easton, PA)",1,1
"WRTO-FM (Medley, FL)",1,1
"WTJU-FM (Charlottesville, VA)",1,1
"WSCC-FM (Charleston, SC)",1,1
"WWME-TV (Chicago, IL)",1,1
"WQKS-FM (Montgomery, AL)",1,1
"WMSE-FM (Milwaukee, WI)",1,1
"WQEN-FM HD2 (Birmingham, AL)",1,1
"WUMP-AM (Athens, AL)",1,1
"WRIR-FM (Richmond,VA)",1,1
YourClassical,1,1
WNHN-FM,1,1
"WRVL-FM (Lynchburg, VA)",1,1
"WUSQ-FM (Winchester, VA )",1,1
Yeti Dispatch,1,1
"WQMF-FM (Louisville, KY)",1,1
"WVBT-TV (Portsmouth, VA)",1,1
"WMXS-FM (Montgomery, AL)",1,1
"WMXL-FM (Lexington, KY)",1,1
WNYA,1,1
"WXXK-FM (WEST LEBANON, NH)",1,1
"WOOF-AM (Dothan, AL)",1,1
WSCA 106.1,1,1
"WRNO-FM (New Orleans, LA)",1,1
"WSON-AM/FM (Henderson, KY)",1,1
"WVLT-FM (Vineland, NJ)",1,1
"WPPX-TV (Philadelphia, PA)",1,1
"WMXC-FM (Mobile, AL)",1,1
"WTSK-AM (Tuscaloosa, AL)",1,1
"WYDC-TV (Corning, NY)",1,1
"WRDG-FM (Bowdon, Georgia)",1,1
"WNTM-AM (Mobile, AL)",1,1
"WSPA-FM (Greenville, SC)",1,1
"WTPT-FM (Greenville, SC)",1,1
"WTSR-FM (Trenton, NJ)",1,1
"WPAR-FM (Salem, VA)",1,1
WMKY-FM,1,1
"WPXN-TV (New York, NY)",1,1
"WTLX-FM (Monona, Wisconsin)",1,1
"WPPN-FM (Des Plaines, IL)",1,1
"WOMX-FM (Orlando, FL )",1,1
"WWDE-FM (VirginiaBeach, VA)",1,1
"WRME-FM (Chicago, IL)",1,1
"WQRV-FM (Madison, AL)",1,1
"WMYT-TV (Charlotte, NC)",1,1
Wyoming PBS,1,1
"WRXL-FM (Richmond, VA)",1,1
"WRRC-FM (Lawrenceville, NJ)",1,1
"WPBT-TV (Miami, FL )",1,1
WROV-FM (Roanoke VA),1,1
"WTUG-FM (Tuscaloosa, AL)",1,1
"WRFQ-FM (Mt. Pleasant, SC)",1,1
"WMYD-TV (Southfield, MI)",1,1
"WSBK-TV (Boston, MA)",1,1
Abbeville Meridional,1,1
"WMJM-FM (Louisville, KY)",1,1
"KJZZ-TV (Salt Lake City, UT)",1,1
"KHKU-FM (Hanapepe, HI)",1,1
"KHRR-TV Tucson, AZ",1,1
"KHVH-AM (Honolulu, HI)",1,1
"KIIT-TV (North Platte, NE)",1,1
"KIZN-FM (Boise, ID)",1,1
"KJMY-FM (Salt Lake City, UT)",1,1
"KJNB-TV (Jonesboro, AR)",1,1
"KKEA-AM (Honolulu, HI)",1,1
"KNST-AM (Tucson, AZ)",1,1
"KKFT-FM (Carson City, NV)",1,1
"KKOH-AM (Reno, NV)",1,1
"KKSE-FM (Broomfield, CO)",1,1
"KLCA-FM (Reno, NV)",1,1
"KMHK-FM (Billings, MT)",1,1
"KMNB-FM (Minneapolis, MN)",1,1
"KMTP-TV (South San Francisco, CA)",1,1
"KGRP-FM (Bemidji, MN)",1,1
"KFXD-FM (Boise, ID)",1,1
"KFSF-TV (San Francisco, CA)",1,1
"KENW-TV (Portales, NM)",1,1
Kansas City Live - KSHB TV,1,1
"KATZ-AM (Saint Louis, MO)",1,1
"KAUT-TV (Oklahoma City, OK)",1,1
"KAZG-AM (Phoenix, AZ)",1,1
"KBGF-TV (Helena, MT)",1,1
"KBYI-FM (Rexburg, ID)",1,1
"KCBA-TV (Monterey, CA)",1,1
"KCCN-FM (Honolulu, HI)",1,1
"KCLV-TV (Las Vegas, NV)",1,1
"KCNV-FM (Las Vegas, NV)",1,1
KCTN-FM,1,1
"KDBI-FM (Nampa, ID)",1,1
"KDCU-DT (Wichita, KS)",1,1
"KDNN-FM (Honolulu, HI)",1,1
Kentucky Kernel,1,1
"KNEV-FM (Reno, NV)",1,1
"KOVE-AM (Lander, WY)",1,1
Ka Leo o Hawai'i,1,1
"KVIE-TV (Sacramento, CA)",1,1
"KTXH-TV (Houston, TX)",1,1
"KUAC-TV (Fairbanks, AK)",1,1
"KUAT-FM (Tucson, AZ)",1,1
"KUAZ-FM (Tucson, AZ)",1,1
"KUCW-TV (Salt Lake City, UT)",1,1
"KUSM-TV (Bozeman, MT)",1,1
"KVBH-FM (San Antonio, TX)",1,1
"KVNU-AM (Logan, UT)",1,1
"KOZE-FM (Lewiston, Idaho)",1,1
"KWBE-TV (Beatrice, NE)",1,1
"KWFI-FM (Aberdeen, ID)",1,1
"KWFS-AM (Wichita Falls, TX)",1,1
"KWHB-TV (Tulsa, OK)",1,1
"KXMX-FM (Muldrow, OK)",1,1
"KXST-AM (North Las Vegas, NV)",1,1
"KXTU-TV (Colorado Springs, CO)",1,1
"KTMW 20 (Murray, UT)",1,1
"KTMF-TV (Missoula, MT)",1,1
"KTLK-AM (St. Louis Park, MN)",1,1
"KTIS-AM (Saint Paul, MN)",1,1
"KPHW-FM (Honolulu, HI)",1,1
"KQKS-FM (Denver, CO)",1,1
"KQXR-FM (Boise, ID)",1,1
"KRBQ-FM (San Francisco, CA)",1,1
"KREN-TV (Reno, NV)",1,1
"KRLV-AM (Las Vegas, NV)",1,1
"KRSC-FM (Claremore, OK)",1,1
"KRTR-FM (Honolulu, HI)",1,1
"KSAH-FM (San Antonio, TX)",1,1
"KSAW-TV (Nampa, ID)",1,1
"KSOM-FM (Audubon, IA)",1,1
"KSSK-FM (Honolulu, HI)",1,1
"KTBT-FM (Tulsa, OK)",1,1
"KTBZ-AM (Tulsa, OK)",1,1
KTEP-FM,1,1
"KAIL-TV (Clovis, CA)",1,1
Journal of Transportation Engineering,1,1
"WMHT-TV (Troy, NY)",1,1
Coyote Student News,1,1
Char-Koosta News,1,1
Cibola Citizen,1,1
Clayton News,1,1
Clearwater Progress,1,1
College Heights Herald,1,1
Connect Bridgeport,1,1
Connect FM,1,1
Daily Comet,1,1
East Montgomery County Observer,1,1
Daily Lobo,1,1
Daily Mississippian,1,1
Daily Sitka Sentinel,1,1
Deadline Detroit,1,1
Denver Catholic,1,1
Diario La Estrella,1,1
Dothan Progress,1,1
Chanhassen Villager,1,1
Central Oregonian,1,1
BYU-I Scroll,1,1
Butler County Radio Network,1,1
ACP Hospitalist,1,1
Alaska Business Monthly,1,1
Alaska Native News,1,1
American Psychologist,1,1
Antelope County News,1,1
Anything Goes Radio,1,1
Apache Junction/Gold Canyon Independent,1,1
Avenue News,1,1
Bastrop Advertiser,1,1
BlackFriday.com,1,1
Bonners Ferry Herald,1,1
Boulder City Review,1,1
Breitbart News Daily,1,1
Buffalo Bulletin,1,1
Business Tribune,1,1
Dyersburg State Gazette,1,1
El Mundo (Las Vegas),1,1
Joel Osteen Podcast,1,1
Houston Life,1,1
Goochland Gazette,1,1
Great Day Houston,1,1
Gresham Outlook,1,1
Hawaii 24/7,1,1
Hawaii Catholic Herald,1,1
Hawaii Herald,1,1
Health City Sun,1,1
Howard County Times,1,1
El Pueblo Latino,1,1
HOY en Delaware,1,1
HubCitySPOKES,1,1
Idaho Senior Independent,1,1
Iowa State Daily,1,1
Irvine World News: Orange County Register,1,1
It's Okay to Be Smart,1,1
Jefferson Star,1,1
Go Knoxville,1,1
Glenrock Independent,1,1
Garden City Telegram,1,1
Fox Sports Detroit,1,1
El Sol de Nevada,1,1
El Tiempo Hispano,1,1
Elgin Courier-News,1,1
Enterprise Ledger,1,1
Enterprise.nxt,1,1
Examiner,1,1
First News,1,1
Fixed Ops Journal,1,1
Florence Reminder & Blade-Tribune,1,1
Florida Jewish Journal,1,1
For Kauai Online,1,1
Ford Authority,1,1
Forest Grove News-Times,1,1
Fort Dodge Messenger,1,1
Fox Baltimore,1,1
"KXVO-TV (Omaha, NE)",1,1
"KXXY-FM (Oklahoma City, OK)",1,1
"KYOU-TV (Ottumwa, IA )",1,1
UniMas,1,1
The UNLV Scarlet & Gray Free Press,1,1
The Weymouth News,1,1
Times-Independent,1,1
Tri-Town News,1,1
Tulane Hullabaloo,1,1
Tulsa Beacon,1,1
Uintah Basin Standard,1,1
Union Daily Times,1,1
"WAVA-FM (Arlington, VA)",1,1
University of Idaho Argonaut,1,1
UW Branding Iron,1,1
Valencia County News-Bulletin,1,1
VCY America,1,1
"WACL-FM (Harrisonburg, VA)",1,1
"WADO-AM (New York, NY)",1,1
"WAMR-FM (Miami, FL)",1,1
The Triangle,1,1
The Tiger (Clemson University),1,1
The Southwest Community Connection,1,1
"The Salem News (Salem, MO)",1,1
"The Freeman (Waukesha, WI)",1,1
The Infatuation Austin,1,1
The Item,1,1
The Lancaster News,1,1
"The Local (East Falls, PA)",1,1
The Morgan Messenger,1,1
The Mountain Times,1,1
"The Mountain Times (Boone, North Carolina)",1,1
The Nevada Sagebrush,1,1
The Newberg Graphic,1,1
The Newberry Observer,1,1
The Piscataquis Observer,1,1
The Point Pleasant Register,1,1
"The Press (Dover, MA)",1,1
The Record-Courier,1,1
WASR,1,1
"WBFX-FM (Grand Rapids, MI)",1,1
"KZBQ-FM (Pocatello, ID)",1,1
"WJMX-FM (Florence, SC)",1,1
"WGGY-FM (Pittston, PA)",1,1
Whitefish Pilot,1,1
"WHRV-FM (Norfolk, VA)",1,1
"WHWC-FM (Menomonie, WI)",1,1
"WHYA-FM (Hyannis, MA)",1,1
Wiscasset Newspaper,1,1
Wisconsin Jewish Chronicle,1,1
"WJRZ-FM (Manahawkin, NJ)",1,1
"WBGB-FM (Boston, MA)",1,1
"WJSR-FM (Richmond, VA)",1,1
"WKTK-FM (Gainesville, FL)",1,1
"WLAP-AM (Lexington, KY)",1,1
WLCL-FM,1,1
"WLEY-FM (Chicago, IL)",1,1
WLGC-FM,1,1
"WLTY-FM (Columbia, SC)",1,1
"WGGS-TV 16 (Taylors, SC)",1,1
"WFXV-TV (Utica, NY)",1,1
WFWM-FM (Frostburg MD),1,1
"WFQX-TV (Cadillac, MI)",1,1
WBVP Radio,1,1
"WCHR-FM (Toms River, NJ)",1,1
"WCOV-TV (Montgomery, AL)",1,1
"WCWJ-TV (Jacksonville, FL)",1,1
"WCWN-TV (Schenectady, NY)",1,1
"WDLT-FM (Mobile, AL)",1,1
"WDXB-FM (Birmingham, AL)",1,1
Weber State Signpost,1,1
"WEGX-FM (Florence, SC)",1,1
"WESR-AM (Onley-Onancock, VA)",1,1
West Georgia Neighbor,1,1
West Seattle Herald,1,1
"WFDU-FM (Teaneck, NJ)",1,1
"WFEA-AM (Manchester, NH)",1,1
"WFFN-FM (Tuscaloosa, AL)",1,1
The Filipino Chronicle,1,1
The Ely Times,1,1
The Daily Targum,1,1
Must Read Alaska,1,1
MidWeek,1,1
Milford Beacon,1,1
Milwaukee Community Journal,1,1
Mineral Daily News - Tribune,1,1
Moab Sun News,1,1
Modern Drunkard Magazine,1,1
Molalla Pioneer,1,1
Myrtle Beach Herald,1,1
The Daily Campus,1,1
NBC Sports Northwest,1,1
Nelson County Times,1,1
Nguoi Viet Daily News,1,1
North American Whitetail Magazine,1,1
North Platte Bulletin,1,1
Norwalk Hamlet Hub,1,1
Oceana's Herald-Journal,1,1
Middletown Transcript,1,1
Mesquite Local News,1,1
Mechanicsville Local,1,1
McLean County News,1,1
"KZHT-FM (Salt Lake City, UT)",1,1
"KZMG-FM (Nampa, ID)",1,1
La Estrella De Tucson,1,1
Lafourche Gazette,1,1
Las Cruces Bulletin,1,1
Las Vegas Business Press,1,1
Laurel Outlook,1,1
Lexington Clipper-Herald,1,1
Madison County Eagle,1,1
Majic 102.1 FM,1,1
Manhasset Times,1,1
Maricopa Monitor,1,1
Marshalltown Times Republican,1,1
Mat-Su Valley Frontiersman,1,1
McCook Daily Gazette,1,1
Oregon City News,1,1
Oregon Live,1,1
Pageland Progressive-Journal,1,1
Spalding and South Holland Voice,1,1
St. Cloud Times,1,1
Stevens Point Journal,1,1
Stone County Enterprise,1,1
Sublette Examiner,1,1
Suburban,1,1
SWX Right Now,1,1
Talk of the Town,1,1
TBS,1,1
The Advocate-Messenger,1,1
The Arbiter,1,1
The Bengal,1,1
The Block Island Times,1,1
The Bogalusa Daily News,1,1
The Circus,1,1
"The Courier (Waterloo, WI)",1,1
Spectrum News Maine,1,1
Soul of the South Network,1,1
Penobscot Bay Press,1,1
Smyrna-Clayton Sun Times,1,1
Philadelphia Bar Reporter,1,1
Praise & Worship,1,1
Quay County Sun,1,1
RealClear Defense,1,1
Ruidoso News,1,1
Runta Somali News Magazine,1,1
Salem Gazette,1,1
Sand Springs Leader,1,1
Seattle Chinese Post,1,1
Seattle Chinese Times,1,1
Shakopee Valley News,1,1
Sho-Ban News,1,1
Shoreline Media Group,1,1
Sierra County Sentinel,1,1
"SitNews (Ketchikan, AK)",1,1
93.7 El Patron,1,1
